,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
122,MA0688.1,0,-0.826715194346941,-0.904156592434788,3097152,0.305345221330408,1.62934426999639e-119,2.10484678144432e-118,100,100,TBX2
123,MA0689.1,0,-0.705277674073762,-0.773500479867049,3269998,0.322385941361609,7.83707352398516e-100,8.26811256780434e-99,100,100,TBX20
124,MA0690.1,0,-0.759263699996791,-0.833522448322369,3290120,0.32436974988751,1.17178641506309e-97,1.19635613021764e-96,100,100,TBX21
125,MA0691.1,0,-0.385909556300543,-0.400284255575295,4034779,0.397784960755649,2.89703789495544e-34,1.03023875702629e-33,100,100,TFAP4
126,MA0145.3,0,0.0820845819578828,0.118396099374455,5388291,0.53122640025018,0.00019238549495712,0.000253708371474702,100,100,TFCP2
127,MA0692.1,0,-0.19211668163334,-0.18088595189766,4676214,0.46102341726152,3.25117803464281e-06,4.64558847839481e-06,100,100,TFEB
128,MA0694.1,0,-0.283231879588818,-0.268117288558558,4290503,0.422996542679784,3.7445374831091e-20,8.74646578157956e-20,100,100,ZBTB7B
129,MA0695.1,0,-0.069958202714478,-0.0271608766386042,5027255,0.49563221006247,0.60197531362953,0.619594103296736,100,100,ZBTB7C
130,MA0696.1,0,-0.052056817417978,-0.020537907089666,5020430,0.494959339910931,0.547233380881189,0.565087651056758,100,100,ZIC1
131,MA0697.1,0,-0.0140783779242015,0.0283694294612658,5175204,0.510218358934276,0.222392097368819,0.240639654076004,100,100,ZIC3
132,MA0698.1,0,-0.374318767703419,-0.355097650858607,4163570.5,0.410482390224069,1.13984925811259e-26,3.12348303197087e-26,100,100,ZBTB18
133,MA0699.1,0,-0.141014715652628,-0.150534927414512,4610411,0.45453596311035,5.66833905041259e-08,8.77275945944052e-08,100,100,LBX2
134,MA0706.1,0,-0.291461950985751,-0.319760474864934,4150308,0.409174853171353,2.09177953781535e-27,5.91114485462999e-27,100,100,MEOX2
135,MA0707.1,0,0.0315861710008435,0.0618915484813084,5288300,0.521368384232222,0.0107216521605513,0.0128295006004328,100,100,MNX1
136,MA0708.1,0,-0.145069965598572,-0.167830435128195,4590488,0.452571773802054,1.48308929051449e-08,2.35878271581827e-08,100,100,MSX2
137,MA0710.1,0,-0.306014065737378,-0.317217087349622,4175122,0.411621241440993,4.89361216320968e-26,1.31256631326768e-25,100,100,NOTO
138,MA0711.1,0,-0.0144758536915983,-3.37124090104366e-05,5095113,0.502322264676851,0.781548904651214,0.792821244622145,100,100,OTX1
139,MA0132.2,0,-0.115116699005367,-0.120051130390477,4725175,0.465850434915661,4.54496346992917e-05,6.10819931308952e-05,100,100,PDX1
140,MA0713.1,0,-0.149631928084327,-0.141215464635196,4641702,0.457620912547978,4.17985159110531e-07,6.08240472912566e-07,100,100,PHOX2A
141,MA0714.1,0,-0.0609505761303169,-0.0346218476765221,5002411,0.493182864121834,0.415619695237093,0.437749196480998,100,100,PITX3
142,MA0715.1,0,-0.269969852082828,-0.271884682706033,4240351,0.418052105487111,1.29846261421202e-22,3.23593242045751e-22,100,100,PROP1
143,MA0716.1,0,-0.131356926435987,-0.146832636288742,4625508,0.456024361744458,1.51089456985894e-07,2.24506164957913e-07,100,100,PRRX1
144,MA0717.1,0,-0.131356926435987,-0.146832636288742,4625508,0.456024361744458,1.51089456985894e-07,2.24506164957913e-07,100,100,RAX2
145,MA0718.1,0,-0.170248486389158,-0.172788312973901,4558164.5,0.449385031187655,1.50297854926363e-09,2.49707459759548e-09,100,100,RAX
146,MA0719.1,0,-0.0398306703816506,-0.0323045638173631,5011654,0.494094122555633,0.480667980633628,0.502083880760869,100,100,RHOXF1
147,MA0721.1,0,-0.137872781348365,-0.143237272843757,4625419,0.456015587320504,1.50232231532404e-07,2.24506164957913e-07,100,100,UNCX
148,MA0722.1,0,-0.189534333666568,-0.199614701965854,4440749,0.437809150560834,1.11637570023988e-13,2.18106734028347e-13,100,100,VAX1
